step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
35,1770505963.911558,D2,0.640036052,0.499634263,0.187372699,D1,0.000130891
36,1770505963.927561,D1,0.641447067,0.500300419,0.191674215,D1,0.000137157
36,1770505963.927561,D2,0.640676718,0.499699581,0.191537057,D1,0.000137157
37,1770505963.943552,D1,0.642083016,0.500270551,0.195788832,D1,0.000142543
37,1770505963.943552,D2,0.641388526,0.499729449,0.195646289,D1,0.000142543
38,1770505963.959502,D1,0.642668824,0.500348589,0.199849629,D1,0.000149938
38,1770505963.959502,D2,0.641773338,0.499651411,0.199699691,D1,0.000149938
39,1770505963.975559,D1,0.642979030,0.500275913,0.203855313,D1,0.000155297
39,1770505963.975559,D2,0.642269796,0.499724087,0.203700016,D1,0.000155297
40,1770505963.991791,D1,0.643730800,0.500278943,0.207807628,D1,0.000160665
40,1770505963.991791,D2,0.643012944,0.499721057,0.207646963,D1,0.000160665
41,1770505964.009652,D1,0.644066940,0.500278588,0.211707241,D1,0.000165951
41,1770505964.009652,D2,0.643349623,0.499721412,0.211541289,D1,0.000165951
42,1770505964.026359,D1,0.644675172,0.500295904,0.215555090,D1,0.000171629
42,1770505964.026359,D2,0.643912576,0.499704096,0.215383460,D1,0.000171629
43,1770505964.042919,D1,0.645142672,0.500188391,0.219350200,D1,0.000174365
43,1770505964.042919,D2,0.644656699,0.499811609,0.219175836,D1,0.000174365
44,1770505964.059044,D1,0.645627286,0.500192287,0.223094762,D1,0.000177168
44,1770505964.059044,D2,0.645130894,0.499807713,0.222917594,D1,0.000177168
45,1770505964.075380,D1,0.646083362,0.500164934,0.226789030,D1,0.000179204
45,1770505964.075380,D2,0.645657259,0.499835066,0.226609827,D1,0.000179204
46,1770505964.091774,D1,0.646760282,0.500126867,0.230433535,D1,0.000180197
46,1770505964.091774,D2,0.646432154,0.499873133,0.230253338,D1,0.000180197
47,1770505964.108002,D1,0.647301885,0.500135865,0.234029566,D1,0.000181418
47,1770505964.108002,D2,0.646950198,0.499864135,0.233848148,D1,0.000181418
48,1770505964.124019,D1,0.648115738,0.500243990,0.237579092,D1,0.000185505
48,1770505964.124019,D2,0.647483512,0.499756010,0.237393586,D1,0.000185505
49,1770505964.139974,D1,0.648710526,0.500272869,0.241081675,D1,0.000190308
49,1770505964.139974,D2,0.648002861,0.499727131,0.240891367,D1,0.000190308
50,1770505964.156136,D1,0.649276532,0.500291803,0.244537810,D1,0.000195552
50,1770505964.156136,D2,0.648519131,0.499708197,0.244342258,D1,0.000195552
51,1770505964.174152,D1,0.649829060,0.500230236,0.247947043,D1,0.000199085
51,1770505964.174152,D2,0.649230880,0.499769764,0.247747958,D1,0.000199085
52,1770505964.190362,D1,0.650250629,0.500220172,0.251310684,D1,0.000202301
52,1770505964.190362,D2,0.649678213,0.499779828,0.251108383,D1,0.000202301
53,1770505964.206398,D1,0.650703025,0.500205368,0.254629280,D1,0.000205081
53,1770505964.206398,D2,0.650168710,0.499794632,0.254424200,D1,0.000205081
54,1770505964.222420,D1,0.651094786,0.500123762,0.257902540,D1,0.000205646
54,1770505964.222420,D2,0.650772542,0.499876238,0.257696894,D1,0.000205646
55,1770505964.238461,D1,0.651626631,0.500206549,0.261133260,D1,0.000208412
55,1770505964.238461,D2,0.651088483,0.499793451,0.260924848,D1,0.000208412
56,1770505964.254784,D1,0.651990929,0.500140272,0.264320020,D1,0.000209374
56,1770505964.254784,D2,0.651625209,0.499859728,0.264110646,D1,0.000209374
57,1770505964.270816,D1,0.652633981,0.500194564,0.267465014,D1,0.000211771
57,1770505964.270816,D2,0.652126262,0.499805436,0.267253243,D1,0.000211771
58,1770505964.286878,D1,0.653126987,0.500070368,0.270566419,D1,0.000210824
58,1770505964.286878,D2,0.652943177,0.499929632,0.270355595,D1,0.000210824
59,1770505964.302909,D1,0.653629294,0.500121910,0.273627159,D1,0.000211264
59,1770505964.302909,D2,0.653310637,0.499878090,0.273415895,D1,0.000211264
60,1770505964.319050,D1,0.654398785,0.500157479,0.276647563,D1,0.000212646
60,1770505964.319050,D2,0.653986699,0.499842521,0.276434917,D1,0.000212646
61,1770505964.337009,D1,0.654856422,0.500135786,0.279627406,D1,0.000213432
61,1770505964.337009,D2,0.654500839,0.499864214,0.279413974,D1,0.000213432
62,1770505964.353081,D1,0.655241769,0.500057398,0.282566473,D1,0.000212117
62,1770505964.353081,D2,0.655091347,0.499942602,0.282354356,D1,0.000212117
63,1770505964.369112,D1,0.655587521,0.499939862,0.285464784,D1,0.000207685
63,1770505964.369112,D2,0.655745243,0.500060138,0.285257100,D1,0.000207685
64,1770505964.385258,D1,0.656276585,0.500011821,0.288325412,D1,0.000205231
64,1770505964.385258,D2,0.656245553,0.499988179,0.288120181,D1,0.000205231
65,1770505964.401282,D1,0.656723383,0.500010971,0.291147886,D1,0.000202787
65,1770505964.401282,D2,0.656694566,0.499989029,0.290945099,D1,0.000202787
66,1770505964.417487,D1,0.657209711,0.500023456,0.293932893,D1,0.000200709
66,1770505964.417487,D2,0.657148051,0.499976544,0.293732184,D1,0.000200709
67,1770505964.434386,D1,0.657935034,0.500098467,0.296681768,D1,0.000200659
67,1770505964.434386,D2,0.657675946,0.499901533,0.296481109,D1,0.000200659
68,1770505964.450337,D1,0.658581331,0.500175522,0.299395018,D1,0.000202664
68,1770505964.450337,D2,0.658119111,0.499824478,0.299192354,D1,0.000202664
69,1770505964.466318,D1,0.659141319,0.500235397,0.302072889,D1,0.000206239
69,1770505964.466318,D2,0.658520971,0.499764603,0.301866651,D1,0.000206239
70,1770505964.482255,D1,0.659491235,0.500207146,0.304714680,D1,0.000209013
70,1770505964.482255,D2,0.658945017,0.499792854,0.304505667,D1,0.000209013
71,1770505964.500059,D1,0.660096059,0.500159296,0.307320608,D1,0.000210474
71,1770505964.500059,D2,0.659675591,0.499840704,0.307110134,D1,0.000210474
72,1770505964.516281,D1,0.660669033,0.500158368,0.309891778,D1,0.000211891
72,1770505964.516281,D2,0.660250649,0.499841632,0.309679887,D1,0.000211891
73,1770505964.532546,D1,0.661071604,0.500078355,0.312427599,D1,0.000211155
73,1770505964.532546,D2,0.660864443,0.499921645,0.312216444,D1,0.000211155
74,1770505964.548523,D1,0.661826985,0.500208682,0.314931347,D1,0.000213904
74,1770505964.548523,D2,0.661274771,0.499791318,0.314717442,D1,0.000213904
75,1770505964.564540,D1,0.662245549,0.500189540,0.317401456,D1,0.000216107
75,1770505964.564540,D2,0.661743650,0.499810460,0.317185349,D1,0.000216107
76,1770505964.580694,D1,0.662942866,0.500258660,0.319839552,D1,0.000220123
76,1770505964.580694,D2,0.662257312,0.499741340,0.319619429,D1,0.000220123
77,1770505964.596857,D1,0.663468142,0.500344303,0.322246282,D1,0.000226369
77,1770505964.596857,D2,0.662555034,0.499655697,0.322019913,D1,0.000226369
78,1770505964.613013,D1,0.663813735,0.500278821,0.324620049,D1,0.000230786
78,1770505964.613013,D2,0.663073806,0.499721179,0.324389263,D1,0.000230786
79,1770505964.629231,D1,0.664333354,0.500315570,0.326962656,D1,0.000236124
79,1770505964.629231,D2,0.663495309,0.499684430,0.326726532,D1,0.000236124
80,1770505964.645370,D1,0.664794673,0.500334127,0.329274276,D1,0.000241886
80,1770505964.645370,D2,0.663906764,0.499665873,0.329032390,D1,0.000241886
81,1770505964.663490,D1,0.665190900,0.500311698,0.331554775,D1,0.000246973
81,1770505964.663490,D2,0.664362063,0.499688302,0.331307802,D1,0.000246973
82,1770505964.679807,D1,0.665916188,0.500433075,0.333806485,D1,0.000255229
82,1770505964.679807,D2,0.664763619,0.499566925,0.333551257,D1,0.000255229
83,1770505964.695941,D1,0.666309352,0.500394182,0.336027655,D1,0.000262337
83,1770505964.695941,D2,0.665259591,0.499605818,0.335765318,D1,0.000262337
84,1770505964.712193,D1,0.666834156,0.500437094,0.338219781,D1,0.000270495
84,1770505964.712193,D2,0.665669298,0.499562906,0.337949285,D1,0.000270495
85,1770505964.728494,D1,0.667206581,0.500296534,0.340380804,D1,0.000274796
85,1770505964.728494,D2,0.666415653,0.499703466,0.340106008,D1,0.000274796
86,1770505964.744628,D1,0.667616649,0.500280394,0.342512798,D1,0.000278609
86,1770505964.744628,D2,0.666868286,0.499719606,0.342234189,D1,0.000278609
87,1770505964.760951,D1,0.668070469,0.500170161,0.344614897,D1,0.000279432
87,1770505964.760951,D2,0.667615907,0.499829839,0.344335465,D1,0.000279432
88,1770505964.777280,D1,0.668598088,0.500185550,0.346689172,D1,0.000280654
88,1770505964.777280,D2,0.668102038,0.499814450,0.346408518,D1,0.000280654
89,1770505964.793448,D1,0.669001009,0.500147594,0.348735284,D1,0.000280848
89,1770505964.793448,D2,0.668606164,0.499852406,0.348454436,D1,0.000280848
90,1770505964.809617,D1,0.669690656,0.500260555,0.350755621,D1,0.000284052
90,1770505964.809617,D2,0.668993054,0.499739445,0.350471570,D1,0.000284052
91,1770505964.827639,D1,0.670181054,0.500258454,0.352748992,D1,0.000287156
91,1770505964.827639,D2,0.669488568,0.499741546,0.352461836,D1,0.000287156
92,1770505964.843776,D1,0.670670054,0.500261055,0.354715820,D1,0.000290289
92,1770505964.843776,D2,0.669970092,0.499738945,0.354425531,D1,0.000290289
93,1770505964.860026,D1,0.671113556,0.500206035,0.356655689,D1,0.000291913
93,1770505964.860026,D2,0.670560693,0.499793965,0.356363777,D1,0.000291913
94,1770505964.876154,D1,0.671666429,0.500126251,0.358568630,D1,0.000291387
94,1770505964.876154,D2,0.671327319,0.499873749,0.358277243,D1,0.000291387
95,1770505964.892215,D1,0.672121854,0.500067926,0.360455287,D1,0.000289314
95,1770505964.892215,D2,0.671939261,0.499932074,0.360165974,D1,0.000289314
96,1770505964.908313,D1,0.672693974,0.500038686,0.362316399,D1,0.000286488
96,1770505964.908313,D2,0.672589887,0.499961314,0.362029912,D1,0.000286488
97,1770505964.924489,D1,0.673216348,0.500083846,0.364153299,D1,0.000284904
97,1770505964.924489,D2,0.672990599,0.499916154,0.363868395,D1,0.000284904
98,1770505964.940660,D1,0.673900999,0.500182409,0.365967020,D1,0.000285969
98,1770505964.940660,D2,0.673409476,0.499817591,0.365681051,D1,0.000285969
99,1770505964.956816,D1,0.674313100,0.500140852,0.367756005,D1,0.000285912
99,1770505964.956816,D2,0.673933293,0.499859148,0.367470092,D1,0.000285912
100,1770505964.972955,D1,0.674754759,0.500157699,0.369521361,D1,0.000286305
100,1770505964.972955,D2,0.674329261,0.499842301,0.369235055,D1,0.000286305
