t=3.51s
ASSEMBLY ID                                                    ACT         FR
a1:L2_3_PYRAMIDAL:130                                       0.1049     0.5995
a1:L2_3_PYRAMIDAL:131                                       0.1049     0.5993
a1:L2_3_PYRAMIDAL:132                                       0.1048     0.5981
a1:L2_3_PYRAMIDAL:133                                       0.1052     0.6015
a1:L2_3_PYRAMIDAL:134                                       0.1050     0.6000
a1:L2_3_PYRAMIDAL:135                                       0.1049     0.5994
a1:L2_3_PYRAMIDAL:136                                       0.1047     0.5979
a1:L2_3_PYRAMIDAL:137                                       0.1048     0.5981
a1:L2_3_PYRAMIDAL:138                                       0.1051     0.6005
a1:L2_3_PYRAMIDAL:139                                       0.1050     0.6001
a1:L2_3_PYRAMIDAL:14                                        0.1052     0.6015
a1:L2_3_PYRAMIDAL:140                                       0.1050     0.6000
a1:L2_3_PYRAMIDAL:141                                       0.1052     0.6018
a1:L2_3_PYRAMIDAL:142                                       0.1046     0.5967
a1:L2_3_PYRAMIDAL:143                                       0.1047     0.5979
a1:L2_3_PYRAMIDAL:144                                       0.1048     0.5985
a1:L2_3_PYRAMIDAL:145                                       0.1051     0.6008
a1:L2_3_PYRAMIDAL:146                                       0.1052     0.6013
a1:L2_3_PYRAMIDAL:147                                       0.1050     0.5997
a1:L2_3_PYRAMIDAL:148                                       0.1048     0.5982
a1:L2_3_PYRAMIDAL:149                                       0.1053     0.6025
a1:L2_3_PYRAMIDAL:15                                        0.1051     0.6007
a1:L2_3_PYRAMIDAL:150                                       0.1051     0.6008
a1:L2_3_PYRAMIDAL:151                                       0.1051     0.6010
a1:L2_3_PYRAMIDAL:152                                       0.1050     0.6000
a1:L2_3_PYRAMIDAL:153                                       0.1049     0.5994
a1:L2_3_PYRAMIDAL:154                                       0.1050     0.5998
a1:L2_3_PYRAMIDAL:155                                       0.1049     0.5989
a1:L2_3_PYRAMIDAL:156                                       0.1053     0.6021
a1:L2_3_PYRAMIDAL:157                                       0.1049     0.5992
a1:L2_3_PYRAMIDAL:158                                       0.1053     0.6026
a1:L2_3_PYRAMIDAL:159                                       0.1049     0.5990
a1:L2_3_PYRAMIDAL:16                                        0.1051     0.6004
a1:L2_3_PYRAMIDAL:160                                       0.1048     0.5982
a1:L2_3_PYRAMIDAL:161                                       0.1049     0.5991
a1:L2_3_PYRAMIDAL:162                                       0.1049     0.5991
a1:L2_3_PYRAMIDAL:163                                       0.1049     0.5995
a1:L2_3_PYRAMIDAL:164                                       0.1050     0.6000
a1:L2_3_PYRAMIDAL:165                                       0.1049     0.5994
a1:L2_3_PYRAMIDAL:166                                       0.1049     0.5988
a1:L2_3_PYRAMIDAL:167                                       0.1048     0.5984
a1:L2_3_PYRAMIDAL:168                                       0.1051     0.6008
