step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
35,1770762889.174557,D2,0.641207697,0.579042004,0.216942497,D2,0.059008705
36,1770762889.215605,D1,0.466637693,0.420897989,0.161439981,D2,0.060331310
36,1770762889.215605,D2,0.642034017,0.579102011,0.221771291,D2,0.060331310
37,1770762889.256511,D1,0.467021960,0.420866721,0.164899004,D2,0.061637113
37,1770762889.256511,D2,0.642645155,0.579133279,0.226536117,D2,0.061637113
38,1770762889.298390,D1,0.467307700,0.420870061,0.168311952,D2,0.062925416
38,1770762889.298390,D2,0.643029535,0.579129939,0.231237368,D2,0.062925416
39,1770762889.340849,D1,0.467579295,0.420796534,0.171678413,D2,0.064198503
39,1770762889.340849,D2,0.643597383,0.579203466,0.235876916,D2,0.064198503
40,1770762889.382619,D1,0.467789626,0.420740713,0.174999244,D2,0.065456104
40,1770762889.382619,D2,0.644034383,0.579259287,0.240455348,D2,0.065456104
41,1770762889.435694,D1,0.468233442,0.420777556,0.178276288,D2,0.066695955
41,1770762889.435694,D2,0.644547967,0.579222444,0.244972242,D2,0.066695955
42,1770762889.486283,D1,0.468599319,0.420703979,0.181508657,D2,0.067921236
42,1770762889.486283,D2,0.645246382,0.579296021,0.249429893,D2,0.067921236
43,1770762889.529882,D1,0.468945319,0.420586523,0.184696362,D2,0.069133312
43,1770762889.529882,D2,0.646034104,0.579413477,0.253829674,D2,0.069133312
44,1770762889.601311,D1,0.469280590,0.420536888,0.187840902,D2,0.070330551
44,1770762889.601311,D2,0.646627676,0.579463112,0.258171453,D2,0.070330551
45,1770762889.695672,D1,0.469634954,0.420515941,0.190943236,D2,0.071512385
45,1770762889.695672,D2,0.647171590,0.579484059,0.262455621,D2,0.071512385
46,1770762889.786360,D1,0.469927269,0.420481206,0.194003742,D2,0.072679388
46,1770762889.786360,D2,0.647666720,0.579518794,0.266683130,D2,0.072679388
47,1770762889.884756,D1,0.470366869,0.420596866,0.197024984,D2,0.073827746
47,1770762889.884756,D2,0.647964975,0.579403134,0.270852730,D2,0.073827746
48,1770762889.975576,D1,0.470702777,0.420589849,0.200005849,D2,0.074960980
48,1770762889.975576,D2,0.648446384,0.579410151,0.274966829,D2,0.074960980
49,1770762890.065713,D1,0.470833547,0.420399961,0.202944437,D2,0.076084168
49,1770762890.065713,D2,0.649132177,0.579600039,0.279028605,D2,0.076084168
50,1770762890.155555,D1,0.471136680,0.420346828,0.205843136,D2,0.077193797
50,1770762890.155555,D2,0.649691761,0.579653172,0.283036933,D2,0.077193797
51,1770762890.268776,D1,0.471549286,0.420316845,0.208702785,D2,0.078289431
51,1770762890.268776,D2,0.650340765,0.579683155,0.286992216,D2,0.078289431
52,1770762890.357630,D1,0.471983760,0.420432332,0.211525846,D2,0.079367376
52,1770762890.357630,D2,0.650631520,0.579567668,0.290893222,D2,0.079367376
53,1770762890.450925,D1,0.472252702,0.420343244,0.214310078,D2,0.080433325
53,1770762890.450925,D2,0.651240322,0.579656756,0.294743402,D2,0.080433325
54,1770762890.541245,D1,0.472588632,0.420269964,0.217056209,D2,0.081487015
54,1770762890.541245,D2,0.651899609,0.579730036,0.298543224,D2,0.081487015
55,1770762890.633115,D1,0.472945423,0.420234347,0.219765251,D2,0.082527605
55,1770762890.633115,D2,0.652487152,0.579765653,0.302292857,D2,0.082527605
56,1770762890.723949,D1,0.473218384,0.420124483,0.222436708,D2,0.083557251
56,1770762890.723949,D2,0.653158211,0.579875517,0.305993959,D2,0.083557251
57,1770762890.812840,D1,0.473469707,0.420071667,0.225071840,D2,0.084574576
57,1770762890.812840,D2,0.653646793,0.579928333,0.309646417,D2,0.084574576
58,1770762890.904422,D1,0.473805712,0.420147091,0.227672844,D2,0.085576326
58,1770762890.904422,D2,0.653908182,0.579852909,0.313249170,D2,0.085576326
59,1770762890.996307,D1,0.474046884,0.420116004,0.230238753,D2,0.086565549
59,1770762890.996307,D2,0.654324517,0.579883996,0.316804301,D2,0.086565549
60,1770762891.086929,D1,0.474413578,0.420179593,0.232771297,D2,0.087539885
60,1770762891.086929,D2,0.654659765,0.579820407,0.320311183,D2,0.087539885
61,1770762891.198133,D1,0.474566608,0.420069858,0.235268611,D2,0.088504157
61,1770762891.198133,D2,0.655165981,0.579930142,0.323772769,D2,0.088504157
62,1770762891.287235,D1,0.474953272,0.420038434,0.237732209,D2,0.089456410
62,1770762891.287235,D2,0.655784379,0.579961566,0.327188619,D2,0.089456410
63,1770762891.379658,D1,0.475140458,0.419939718,0.240161642,D2,0.090398599
63,1770762891.379658,D2,0.656308742,0.580060282,0.330560242,D2,0.090398599
64,1770762891.479211,D1,0.475324601,0.419788675,0.242556669,D2,0.091332253
64,1770762891.479211,D2,0.656970359,0.580211325,0.333888923,D2,0.091332253
65,1770762891.568744,D1,0.475855668,0.419899616,0.244921242,D2,0.092250500
65,1770762891.568744,D2,0.657404877,0.580100384,0.337171742,D2,0.092250500
66,1770762891.659544,D1,0.476151281,0.419884690,0.247254088,D2,0.093156902
66,1770762891.659544,D2,0.657853583,0.580115310,0.340410990,D2,0.093156902
67,1770762891.750849,D1,0.476489756,0.419851621,0.249555389,D2,0.094052100
67,1770762891.750849,D2,0.658410605,0.580148379,0.343607488,D2,0.094052100
68,1770762891.838237,D1,0.476813466,0.419830457,0.251825723,D2,0.094935926
68,1770762891.838237,D2,0.658915157,0.580169543,0.346761649,D2,0.094935926
69,1770762891.939276,D1,0.477145588,0.419736235,0.254064530,D2,0.095810481
69,1770762891.939276,D2,0.659629244,0.580263765,0.349875011,D2,0.095810481
70,1770762892.031878,D1,0.477415990,0.419725813,0.256273347,D2,0.096673653
70,1770762892.031878,D2,0.660031303,0.580274187,0.352947000,D2,0.096673653
71,1770762892.143507,D1,0.477783968,0.419756698,0.258453125,D2,0.097524492
71,1770762892.143507,D2,0.660456281,0.580243302,0.355977617,D2,0.097524492
